experiment,slug,title,source_id,source_commit,experiment_commit,kaggle_submission,public_score,status,reproducibility,main_sha256,deck_sha256,archive_sha256,local_generated_package,upstream_notebook_urls,upstream_version_pinned
000,baseline,000 Baseline,4a8dcb45a05a-e92d5717fd04,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,16d2ffc4e08f78679636206ba585f6bc54c8d13c,,,"prepared, not submitted",source_exact_runtime_required,4a8dcb45a05a99244321844cc6d9330126f80ac74c7a3e05933fc7df6591eb08,e92d5717fd04865b0b528307df7a9d9aecc2c7b917bfbd5042fe58e3d1f26997,c1b6cfa28e2963adcc009c430567cfb21ac3978c11cb9e06bedd2e32e87c2b26,artifacts/submissions/baseline.zip,,
001,generic-abomasnow,001 Generic Abomasnow,99c370eacd00-e92d5717fd04,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,9008062a7a7232ec11907b89487310555c372c57,53783585,,error,source_exact_runtime_required,99c370eacd0097b17a951a875dc49e4721c9024f74911be11dd935a16e4c7c1b,e92d5717fd04865b0b528307df7a9d9aecc2c7b917bfbd5042fe58e3d1f26997,689c62b14ee02c2c6dd41242e56d83dfbf5bdcad1b6304d10f86bd12b59f4f1d,artifacts/submissions/s001-generic-abomasnow.tar.gz,,
002,generic-abomasnow-entryfix,002 Generic Abomasnow Entrypoint Fix,8c02fa8a72f8-e92d5717fd04,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,81a83ab60c06523ee9c34e134aaa2d092f966a03,53783691,556.4,complete,source_exact_runtime_required,8c02fa8a72f81174e26d5462adc28659bfd8de711ff14bf9ba2362ffdd46c93a,e92d5717fd04865b0b528307df7a9d9aecc2c7b917bfbd5042fe58e3d1f26997,c9b02faa2c9c4ded0b0e5e71e713b950aa20cc75651ed7481fbf230fa634343c,artifacts/submissions/s002-generic-abomasnow-entryfix.tar.gz,,
003,crustle-wall,003 Crustle Wall,c642b891c09b-9c2647bd80d5,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,147d2cd1f47ea638eb695b280a80f9958c1f3b76,53783789,741.4,complete,source_exact_runtime_required,c642b891c09baa8a86f0b19122418ce64f89896646863db0298202144daf77c6,9c2647bd80d51bfd9cf89c74026e6a53607903b94cae9c235fad0c2128aad3aa,473e75aeb462e97de05be1a80bcd74742122f9511cebfd56337de7a45a10e128,artifacts/submissions/s003-crustle-wall.tar.gz,,
004,crustle-specific,004 Crustle Specific,6de341ae762f-9c2647bd80d5,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,a0e0eb6b412d912142a2d2fa80029e6bc4341950,53783875,766.6,complete,source_exact_runtime_required,6de341ae762f15a7d926f5359e783e189bf25d5a0cff5ec69f78a954d0bdb6d3,9c2647bd80d51bfd9cf89c74026e6a53607903b94cae9c235fad0c2128aad3aa,fa012b5a4a86d267c78793979da64a93ac2d17dcd44c5b7bff4f3ea9da345518,artifacts/submissions/s004-crustle-specific.tar.gz,,
005,lucario-tempo,005 Lucario Tempo,e5c24a4eb8b7-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,9e7cbb907622b7ec8e8f7f214312e8bf7267491a,53784007,410.9,complete,source_exact_runtime_required,e5c24a4eb8b7e7ff0d9f9acd5aa59ea46e43bd2be14290e7bb4b8a9094ac4d72,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,cd9fc41d9df3797baa2b2a4106bfe89695d33968fb0048baed461c801470b999,artifacts/submissions/s005-lucario-tempo.tar.gz,,
006,lucario-full-policy,006 Lucario Full Policy,d6f0aeb6de59-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,30309b12d6e2f146e7d6d9efeccd22ca95e06274,53784094,870.3,complete,source_exact_runtime_required,d6f0aeb6de59840182b93f661b658f78e76fb31e7239a51368d21ab30c58c3c0,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,97259987f899f38e642e7e2bdc573573e6cd8edef02b50146a6c14db60c2fb24,artifacts/submissions/s006-lucario-full-policy.tar.gz,,
007,strongstart-lucario,007 Strong Start Lucario,ccffdb6e8565-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,45a5b7d682f398d73a7073418c8c2190d9b0e9de,53791680,757.1,complete,source_exact_runtime_required,ccffdb6e85658dedf21dd3f9829b97bc29a1a2a30e986f79054d86796bfdab12,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,d055229c757715bd1be4a60c5a06cd560ca84bda45852653e9919c63385eb16f,artifacts/submissions/s007-strongstart-lucario.tar.gz,,
008,strongstart-retuned,008 Strong Start Retuned,ccffdb6e8565-fd2fc062ffc2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,3508c748b6eaec1fe59a3637e1e2557bde8567c9,53791767,799.5,complete,source_exact_runtime_required,ccffdb6e85658dedf21dd3f9829b97bc29a1a2a30e986f79054d86796bfdab12,fd2fc062ffc23c5a4f77f30c05d2fc1d08a7bade73e1dc67e1dd547192fd46b3,d261311a7c7a4b89f8899ee5f0d0c868d8266a71c073e54a5a92caf24404a508,artifacts/submissions/s008-strongstart-retuned.tar.gz,,
009,resubmit-lucario-full,009 Resubmit Lucario Full,9154a80b62c1-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,31ca57cc90aac368fb632e8cc2f66a719b6d10a3,53791858,893.0,complete,source_exact_runtime_required,9154a80b62c1eb67fcda5273bc637e97d337f8efff85734ffd7719a07a796d6f,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,3b5d06600c07274f4a289496eee1ec0ab303620f641824463817e3766f46740b,artifacts/submissions/s009-resubmit-lucario-full.tar.gz,,
